Wavelength,Absorbance
900,0.5663
905,0.5676
909,0.5706
913,0.5743
917,0.5792
921,0.5871
925,0.5958
929,0.602
933,0.6038
937,0.6043
940,0.606
944,0.6103
948,0.6163
953,0.6262
957,0.6329
961,0.6376
965,0.6405
969,0.6422
973,0.6431
976,0.6432
980,0.6425
984,0.6411
988,0.639
992,0.6365
997,0.6327
1001,0.629
1004,0.6257
1008,0.6224
1012,0.619
1016,0.6155
1020,0.6119
1023,0.6082
1027,0.6046
1031,0.6011
1035,0.598
1040,0.5944
1044,0.5923
1047,0.5904
1051,0.5889
1055,0.5877
1059,0.5868
1062,0.5863
1066,0.5861
1070,0.5865
1074,0.587
1077,0.5879
1081,0.5892
1086,0.5914
1090,0.5937
1093,0.5956
1097,0.5981
1101,0.6007
1104,0.6034
1108,0.6062
1112,0.6093
1115,0.6127
1119,0.6169
1123,0.6227
1128,0.634
1131,0.6463
1135,0.6621
1139,0.6802
1142,0.6989
1146,0.7162
1150,0.7304
1153,0.7406
1157,0.7474
1161,0.7517
1164,0.7544
1169,0.7568
1173,0.7581
1176,0.7593
1180,0.7609
1183,0.7618
1187,0.763
1191,0.764
1194,0.7645
1198,0.7645
1201,0.764
1205,0.7633
1208,0.7623
1213,0.7608
1217,0.7595
1220,0.7581
1224,0.7567
1227,0.7553
1231,0.7539
1235,0.7524
1238,0.7511
1242,0.7498
1245,0.7485
1249,0.7475
1253,0.7464
1257,0.7458
1260,0.7456
1264,0.7457
1267,0.7465
1271,0.7471
1274,0.7485
1278,0.7506
1281,0.753
1285,0.7562
1288,0.76
1293,0.7661
1296,0.7715
1300,0.7776
1303,0.7845
1307,0.7923
1310,0.8011
1314,0.8105
1317,0.821
1321,0.8322
1324,0.8441
1327,0.8564
1331,0.8691
1335,0.8857
1339,0.8978
1342,0.9092
1346,0.9201
1349,0.9302
1352,0.9404
1356,0.9495
1359,0.9595
1363,0.9706
1366,0.9833
1369,0.999
1374,1.0259
1377,1.0516
1381,1.0818
1384,1.116
1387,1.1528
1391,1.1902
1394,1.2258
1397,1.2577
1401,1.2852
1404,1.3081
1407,1.3264
1411,1.3409
1415,1.3556
1418,1.364
1422,1.3706
1425,1.3758
1428,1.3798
1432,1.3831
1435,1.387
1438,1.3871
1441,1.3886
1445,1.3898
1448,1.3901
1452,1.3904
1456,1.3901
1459,1.3892
1462,1.3878
1465,1.3853
1469,1.3824
1472,1.3785
1475,1.3742
1478,1.3695
1482,1.3644
1485,1.359
1489,1.3515
1492,1.3457
1495,1.3398
1499,1.3336
1502,1.3273
1505,1.3208
1508,1.3144
1511,1.3078
1515,1.3025
1518,1.2944
1521,1.2878
1524,1.2815
1528,1.2725
1532,1.2662
1535,1.2596
1538,1.2532
1541,1.2467
1544,1.2403
1547,1.2341
1550,1.2278
1554,1.2217
1557,1.2158
1560,1.21
1564,1.2024
1567,1.1968
1570,1.1915
1573,1.1863
1576,1.1813
1580,1.1762
1583,1.1715
1586,1.1669
1589,1.1624
1592,1.1594
1595,1.1537
1599,1.1485
1602,1.1449
1605,1.141
1608,1.1376
1611,1.1341
1614,1.1307
1617,1.1276
1621,1.1245
1624,1.1215
1627,1.1186
1630,1.1157
1633,1.113
1637,1.1096
1640,1.107
1643,1.1044
1646,1.1017
1649,1.0985
1652,1.0947
1655,1.0896
1658,1.0821
1661,1.0713
1664,1.0557
1667,1.037
1671,0.999
1674,0.9701
1677,0.9425
1679,0.9185
1682,0.9014
1685,0.8907
1688,0.8858
1691,0.8866
1694,0.8898
1697,0.8959
1700,0.9032
