Wavelength,Absorbance
900,0.5434
905,0.545
909,0.5475
913,0.5507
917,0.5549
921,0.5613
925,0.5695
929,0.576
933,0.5793
937,0.5811
940,0.5844
944,0.5892
948,0.5959
953,0.6066
957,0.614
961,0.6193
965,0.6223
969,0.6239
973,0.6248
976,0.6249
980,0.6242
984,0.6225
988,0.6202
992,0.6175
997,0.6134
1001,0.6094
1004,0.6059
1008,0.6023
1012,0.5987
1016,0.5949
1020,0.5912
1023,0.5874
1027,0.5838
1031,0.5803
1035,0.5772
1040,0.5735
1044,0.5714
1047,0.5695
1051,0.568
1055,0.5667
1059,0.5659
1062,0.5653
1066,0.5653
1070,0.5655
1074,0.5661
1077,0.5671
1081,0.5684
1086,0.5707
1090,0.573
1093,0.5752
1097,0.5777
1101,0.5804
1104,0.5832
1108,0.5862
1112,0.5892
1115,0.5929
1119,0.5973
1123,0.6032
1128,0.6148
1131,0.6276
1135,0.6439
1139,0.6628
1142,0.6826
1146,0.7008
1150,0.7158
1153,0.7268
1157,0.7342
1161,0.7388
1164,0.7417
1169,0.7442
1173,0.7455
1176,0.7468
1180,0.7485
1183,0.7494
1187,0.7506
1191,0.7517
1194,0.7521
1198,0.7522
1201,0.7516
1205,0.7507
1208,0.7496
1213,0.7479
1217,0.7464
1220,0.7449
1224,0.7434
1227,0.7417
1231,0.7402
1235,0.7386
1238,0.7371
1242,0.7356
1245,0.7343
1249,0.7331
1253,0.7318
1257,0.7312
1260,0.7309
1264,0.7309
1267,0.7317
1271,0.7323
1274,0.7338
1278,0.7359
1281,0.7384
1285,0.7417
1288,0.7457
1293,0.7521
1296,0.7578
1300,0.7642
1303,0.7715
1307,0.7798
1310,0.789
1314,0.7992
1317,0.8104
1321,0.8223
1324,0.8351
1327,0.8483
1331,0.8618
1335,0.8797
1339,0.8926
1342,0.905
1346,0.9166
1349,0.9274
1352,0.9382
1356,0.9479
1359,0.9585
1363,0.9702
1366,0.9838
1369,1.0005
1374,1.0288
1377,1.0556
1381,1.0869
1384,1.1221
1387,1.1598
1391,1.1976
1394,1.2332
1397,1.2648
1401,1.2916
1404,1.3138
1407,1.3315
1411,1.3456
1415,1.3596
1418,1.3676
1422,1.3741
1425,1.379
1428,1.383
1432,1.386
1435,1.3898
1438,1.3901
1441,1.3914
1445,1.3926
1448,1.393
1452,1.3934
1456,1.3932
1459,1.3926
1462,1.3912
1465,1.3892
1469,1.3865
1472,1.383
1475,1.3792
1478,1.3747
1482,1.3702
1485,1.3653
1489,1.3583
1492,1.3529
1495,1.3472
1499,1.3416
1502,1.3356
1505,1.3297
1508,1.3237
1511,1.3173
1515,1.3125
1518,1.3046
1521,1.2984
1524,1.2923
1528,1.2837
1532,1.2775
1535,1.2713
1538,1.265
1541,1.2587
1544,1.2525
1547,1.2464
1550,1.2403
1554,1.2344
1557,1.2284
1560,1.2227
1564,1.2152
1567,1.2096
1570,1.2044
1573,1.199
1576,1.194
1580,1.1889
1583,1.1841
1586,1.1794
1589,1.175
1592,1.1718
1595,1.1658
1599,1.1605
1602,1.1568
1605,1.1528
1608,1.1492
1611,1.1455
1614,1.1421
1617,1.1387
1621,1.1355
1624,1.1324
1627,1.1292
1630,1.1265
1633,1.1235
1637,1.1198
1640,1.1173
1643,1.1147
1646,1.1125
1649,1.1095
1652,1.1066
1655,1.1029
1658,1.098
1661,1.0913
1664,1.0816
1667,1.0702
1671,1.0426
1674,1.0204
1677,0.9979
1679,0.976
1682,0.9598
1685,0.9479
1688,0.9427
1691,0.9417
1694,0.944
1697,0.9486
1700,0.9539
