Wavelength,Absorbance
900,-0.000317
905,-0.000317
909,-0.000317
913,-0.000317
917,-0.000317
921,-0.000317
925,-0.000317
929,-0.000317
933,-0.000317
937,-0.000317
940,-0.000317
944,-0.000317
948,-0.000317
953,-0.000317
957,-0.000698
961,-0.001025
965,-0.001288
969,-0.001479
973,-0.001595
976,-0.001635
980,-0.001577
984,-0.001453
988,-0.001274
992,-0.001070
997,-0.000850
1001,-0.000644
1004,-0.000448
1008,-0.000278
1012,-0.000129
1016,-0.000012
1020,0.000080
1023,0.000153
1027,0.000220
1031,0.000277
1035,0.000332
1040,0.000379
1044,0.000416
1047,0.000443
1051,0.000464
1055,0.000476
1059,0.000478
1062,0.000475
1066,0.000475
1070,0.000481
1074,0.000505
1077,0.000552
1081,0.000633
1086,0.000754
1090,0.000908
1093,0.001088
1097,0.001267
1101,0.001424
1104,0.001537
1108,0.001589
1112,0.001565
1115,0.001465
1119,0.001297
1123,0.001068
1128,0.000793
1131,0.000485
1135,0.000156
1139,-0.000185
1142,-0.000523
1146,-0.000841
1150,-0.001133
1153,-0.001392
1157,-0.001602
1161,-0.001753
1164,-0.001830
1169,-0.001829
1173,-0.001748
1176,-0.001600
1180,-0.001395
1183,-0.001158
1187,-0.000914
1191,-0.000690
1194,-0.000499
1198,-0.000349
1201,-0.000238
1205,-0.000158
1208,-0.000102
1213,-0.000057
1217,-0.000014
1220,0.000028
1224,0.000078
1227,0.000135
1231,0.000196
1235,0.000261
1238,0.000334
1242,0.000411
1245,0.000490
1249,0.000571
1253,0.000654
1257,0.000739
1260,0.000828
1264,0.000919
1267,0.001008
1271,0.001094
1274,0.001185
1278,0.001280
1281,0.001379
1285,0.001478
1288,0.001575
1293,0.001663
1296,0.001737
1300,0.001782
1303,0.001797
1307,0.001774
1310,0.001718
1314,0.001636
1317,0.001539
1321,0.001440
1324,0.001373
1327,0.001379
1331,0.001520
1335,0.001841
1339,0.002389
1342,0.003200
1346,0.004288
1349,0.005589
1352,0.006967
1356,0.008269
1359,0.009328
1363,0.010001
1366,0.010195
1369,0.009859
1374,0.009006
1377,0.007717
1381,0.006088
1384,0.004191
1387,0.002099
1391,-0.000106
1394,-0.002348
1397,-0.004538
1401,-0.006582
1404,-0.008400
1407,-0.009914
1411,-0.011039
1415,-0.011706
1418,-0.011880
1422,-0.011556
1425,-0.010770
1428,-0.009585
1432,-0.008093
1435,-0.006470
1438,-0.004944
1441,-0.003682
1445,-0.002776
1448,-0.002269
1452,-0.002154
1456,-0.002340
1459,-0.002714
1462,-0.003167
1465,-0.003594
1469,-0.003964
1472,-0.004287
1475,-0.004548
1478,-0.004733
1482,-0.004831
1485,-0.004831
1489,-0.004719
1492,-0.004503
1495,-0.004181
1499,-0.003741
1502,-0.003196
1505,-0.002577
1508,-0.001907
1511,-0.001206
1515,-0.000505
1518,0.000155
1521,0.000715
1524,0.001151
1528,0.001474
1532,0.001689
1535,0.001811
1538,0.001861
1541,0.001891
1544,0.001910
1547,0.001924
1550,0.001946
1554,0.001962
1557,0.001959
1560,0.001937
1564,0.001912
1567,0.001882
1570,0.001853
1573,0.001841
1576,0.001829
1580,0.001817
1583,0.001808
1586,0.001786
1589,0.001743
1592,0.001684
1595,0.001622
1599,0.001558
1602,0.001511
1605,0.001493
1608,0.001491
1611,0.001525
1614,0.001595
1617,0.001760
1621,0.002038
1624,0.002369
1627,0.002686
1630,0.002911
1633,0.002982
1637,0.002837
1640,0.002424
1643,0.001809
1646,0.001041
1649,0.000270
1652,-0.000437
1655,-0.001038
1658,-0.001497
1661,-0.001782
1664,-0.001782
1667,-0.001782
1671,-0.001782
1674,-0.001782
1677,-0.001782
1679,-0.001782
1682,-0.001782
1685,-0.001782
1688,-0.001782
1691,-0.001782
1694,-0.001782
1697,-0.001782
1700,-0.001782
